unique_id,mae,rmse,acc,nrmse,nmae,smape,crps,crpss,crpss_es,threshold_brier_score,less,
01369,0.8177525891423277,1.143402024017061,0.6986021831200774,0.5251317683488285,0.26556843067178376,0.41256308849859474,0.5711475977149986,0.32444589406372853,0.09232825365854545,0.09941269841269841,0.3686737318947753,
01378,0.8173647541723676,1.1428322644680808,0.6989513539237663,0.5248707803819066,0.2654432920633402,0.4122839067227522,0.571241243203029,0.3243321389307803,0.09240673103102702,0.09967195767195769,0.37005191841175605,
01379,0.8181167730617132,1.1436882180134644,0.6985741066844847,0.5252634655246323,0.26568727919677776,0.41265683015296206,0.5720694133083294,0.323353169024559,0.09272478841709413,0.09961287477954145,0.36897002688590774,
01389,0.8182047123414149,1.144015139128612,0.6983534653573494,0.5254127475596686,0.26571517240645626,0.41266971219198134,0.5716726967730272,0.323826567990469,0.09249531648905567,0.0997416225749559,0.36848479992889405,
01456,0.8173032260788552,1.1441542779631806,0.6980327456595624,0.5254783262693715,0.26542275052178305,0.4121555116111404,0.5709454669149823,0.32468734820150713,0.09243386399324564,0.09913051146384481,0.365587729477814,
01457,0.8176674099982405,1.1444345416870545,0.6980010340052395,0.525607306350511,0.26554159904677704,0.4122492532655077,0.5720277460637836,0.32340525092715494,0.0930312984106771,0.09921075837742505,0.36590323811312525,
01458,0.8177553492779426,1.144774028577394,0.6977769850598113,0.5257623578887631,0.2655694922564555,0.412262135304527,0.5713612724090935,0.32419570145841303,0.09253254111107172,0.09932539682539683,0.36537768993965186,
01459,0.8185073681672878,1.145618018609771,0.6973985314798746,0.5261495433841703,0.26581347938989314,0.41263505873473677,0.5720855328441625,0.3233413665523442,0.09278058288946671,0.0992857142857143,0.36434020829792796,
01467,0.8164444521354969,1.142328126206884,0.6990844717123647,0.524640331576744,0.26514470377457977,0.41200749695940014,0.5707250430788586,0.32494149047130855,0.09260122745946696,0.09948059964726631,0.3688053711547891,
01468,0.8165323914151988,1.1426657778950935,0.698861265264886,0.5247945381558438,0.26517259698425827,0.41202037899841937,0.5701143104423796,0.3256668219438508,0.09215026472893488,0.09970282186948853,0.3682734204819493,
01469,0.8172844103045441,1.1435121272386892,0.6984804825474146,0.5251828065549335,0.26541658411769586,0.41239330242862926,0.5708559441347734,0.32479139534466045,0.09239810195255331,0.09955731922398588,0.36723484584887817,
01478,0.8168965753345842,1.142946216219993,0.6988319959959194,0.5249235953424995,0.26529144550925227,0.41211412065278674,0.5710086340823737,0.3246065984504594,0.09257450388450739,0.09973897707231043,0.3685963798483604,
01479,0.8176485942239297,1.1437936164589282,0.6984529301541545,0.5253123496366695,0.2655354326426899,0.41248704408299663,0.5718126727903071,0.32365755389265954,0.09286848257967235,0.09974162257495593,0.36754400109079516,
01489,0.8177365335036315,1.1441299529610995,0.6982285801681963,0.5254659539902465,0.26556332585236836,0.4124999261220159,0.5713608953707311,0.32419502839344755,0.0925305114465807,0.09982451499118167,0.36703394773805464,
01567,0.8176941058154078,1.1440483915030728,0.6983117051672547,0.5254304970034037,0.26555047927264946,0.41217714234962416,0.5716225876052093,0.3238817117137372,0.09272867970478471,0.09891798941798942,0.36834500046052693,
01568,0.8177820450951095,1.1443824275456842,0.6980906413011075,0.5255830435918706,0.2655783724823279,0.4121900243886434,0.5709466375626723,0.32468421386422236,0.09225537843790275,0.09908553791887124,0.36782260119503096,
01569,0.818534063984455,1.1452311644815631,0.697714943655911,0.5259724099663433,0.2658223596157655,0.41256294781885333,0.5716892534234511,0.32380694723320147,0.09251482117163785,0.09890828924162258,0.3667732907219579,
